Test,TEST
Human Resources,HR
Communications,COM
Commercial,COMM
HSSE Home,SAFETY
Finance,FIN
Business Process Owners,OPS
Continuous Improvement ,CI
M&R,TAM
Refinedwiki layout space,rwlayoutkey
Glossary,GLOS
TestHRUser,10
Digital Operations,IT
Test (Archive),TESTArchive
Space Administration and Knowledge Management Evangelists,KME
Finance BPO,FB
Project Engineering,PE
SFR Word Docs,SWD
Office of the CIO,OCIO
Confluence 101,C1
Project Implementations,PI
P400,P400
Health,HEAL
Safety,SAF
Security,SEC
Environment,EN
Sustainability,SUS
IT Knowledge base,IKB
Charlotte,US
Continuous Improvement - Global Department Only,CIGDO
Gothenburg,GOT
Reliability Network,Reliability
Enterprise Architecture,AA
APMT Global BI,AGB
Procurement,PROC
Asset Delivery,AssetDelivery
Asset Design and Automation,SFRDNA
Global Business Excellence,GBE
SFR General,SFRgeneral
APMT Rotterdam,APMTR
SFR Asset Engineering,SFREngineering
SFR Asset Delivery,SFRDelivery
AQABA,AQABA
CMIT,CMIT
Moin,MOIN
Terminal Planning - Department Only,TPDO
Terminal Applications ,NTCP
Global Standards Home,QMS
Solution Architecture,SA
Port Of Salalah,POS
Project Terminal Business Development,PTBD
Project Management Support,PMS
Maasvlakte II,MI
Global Safety,Fatal5
Information Security,InfoSec
GIT- PMO,GP
Change Advisory Board,CAB
Zeebrugge,ZEEB
BIM Lessons Learnt,BLL
APMT MedPort Tangiers,MedPort
ARGOS,ARGOS
Known Errors,KE
Global OS Workstream: Standard Processes,HP
Transformation Office,TO
Announcements,AN
TREASURY,TREAS
APMT WORKFRONT,WF
Mavim Manager and Portal Support,MCM
Confluence Training,CT
SCCT,SCCT
Ahmed Mohdsuhail,~ahmed.mohdsuhail
APM Terminals Tangier,TAN
APMT Algeciras,ALR
APM TERMINALS PIPAVAV,APMTPIPAVA
Port of Tanjung Pelepas,PTP
APMT Callao,Callao
APMT Lazaro,Lazaro
APMT Aarhus,Aarhus
APMT APAPA,APAPA
APMT Valencia,VLC
APM TERMINALS GTI,GTI
Project Execution Governance,ProjExeGov
APMT ELIZABETH,AE
Data Integration,DI
GC3,GC3
APMTerminals.com,AP
APM Terminals Quetzal,ATQ
Confluence Test Space,CPT
Project M,PM
Global operations,GO
Test Space,TS
APMT Barcelona,AB
LIFT,LIFT
NRA 2.0,NRA20
APMT Data Products and Services,AS
NAM Regional IT,NRI
Development,DEV
Shared Planning Center,SPC
Asset Digitization,AD
APMT Pecem Customer Portal,APCP
APMT Pecem,APM
Project Playbooks,PP
P400 TIS Process Landscape,PTPL
Asset Digitization,ADN
Vado Gateway,VG
Vado Reefer Terminal,VRT
Poti,POTI
Bahrain,BAH
Test Terminal Space,TTS
Cotonou,COT
Yucatán,YUC
Buenas Aventura,BAv
Mauritania,MAUR
ONNE,ONNE
Pecem,PEC
COMAN SA,CS
RIO,RIO
Master Data Management - APMT,MDMA
Buenos Aires,BA
APMT Tangier Business Center,ATBC
Governance - Policy's and instructions,BMS
Global Functional Processes,GFP
Immediate Response Team 1,IRT1
Immediate Response Team 2,IRT2
MV2 Test,MT
Algeciras Nexus Offices,ESALR112023
GC3 WFMS,GW
